#,id,uuid,text,post_id,created_at,updated_at,raw,author_id,like_count
11,17885119536335714,add71a1a-c6e8-4ee6-8527-17b0f47946e4,Siapa yang udah tau dari timnas Indonesia ------>>>>>>,DMFpII8hiI_,2025-07-18 03:07:57.966,2025-07-18 03:07:57.966,"{""id"": ""17885119536335714"", ""text"": ""Siapa yang udah tau dari timnas Indonesia ------>>>>>>"", ""owner"": {""id"": ""72300501251"", ""username"": ""citereupviral"", ""is_verified"": false, ""profile_pic_url"": ""https://instagram.fipn1-1.fna.fbcdn.net/v/t51.2885-19/476347977_1347696189918323_829191652274488053_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fipn1-1.fna.fbcdn.net&_nc_cat=111&_nc_oc=Q6cZ2QGJ_6YK3_iVoAemf28uqgRHL3X93erdNDqjMRoBunmrMCzgwSKqNym1Q__iH2pmQ_E&_nc_ohc=BApP23KtvkcQ7kNvwFkUEAW&_nc_gid=WwZWl3W-afb4o2dLy4_J6w&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfRF0skcHVZyTgsgOio6P05HD8jlEo5Aldv15qNWKCheNg&oe=687F7264&_nc_sid=10d13b""}, ""created_at"": 1752655914, ""edge_liked_by"": {""count"": 0}, ""viewer_has_liked"": false, ""did_report_as_spam"": false, ""is_restricted_pending"": false}",72300501251,
12,17874836490379420,ce215317-33bc-41db-a7bd-915472d37bbc,Karawang prideee,DMFpII8hiI_,2025-07-18 03:07:58.001,2025-07-18 03:07:58.001,"{""id"": ""17874836490379420"", ""text"": ""Karawang prideee"", ""owner"": {""id"": ""9226881858"", ""username"": ""aldihrmwn30"", ""is_verified"": false, ""profile_pic_url"": ""https://instagram.fipn1-1.fna.fbcdn.net/v/t51.2885-19/482921592_1102934444851759_7039169751981639185_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fipn1-1.fna.fbcdn.net&_nc_cat=107&_nc_oc=Q6cZ2QGJ_6YK3_iVoAemf28uqgRHL3X93erdNDqjMRoBunmrMCzgwSKqNym1Q__iH2pmQ_E&_nc_ohc=Y-aC2ctq-7AQ7kNvwEWpaWe&_nc_gid=WwZWl3W-afb4o2dLy4_J6w&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfSAmhORra6PdLC25T2oEQDzQZdEQ4U1ONmet5VzIOoKmw&oe=687F9A60&_nc_sid=10d13b""}, ""created_at"": 1752663329, ""edge_liked_by"": {""count"": 0}, ""viewer_has_liked"": false, ""did_report_as_spam"": false, ""is_restricted_pending"": false}",9226881858,
13,18066515633140601,093ed178-ce82-473c-97e2-82b02f6cf6ad,Ngeri juga,DMFpII8hiI_,2025-07-18 03:07:58.030,2025-07-18 03:07:58.030,"{""id"": ""18066515633140601"", ""text"": ""Ngeri juga"", ""owner"": {""id"": ""2945917317"", ""username"": ""dominics_ohoira333"", ""is_verified"": false, ""profile_pic_url"": ""https://instagram.fipn1-1.fna.fbcdn.net/v/t51.2885-19/469909862_9202548136446690_1792769963070350708_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fipn1-1.fna.fbcdn.net&_nc_cat=106&_nc_oc=Q6cZ2QGJ_6YK3_iVoAemf28uqgRHL3X93erdNDqjMRoBunmrMCzgwSKqNym1Q__iH2pmQ_E&_nc_ohc=Zm0tk7jrRuIQ7kNvwEgkqgs&_nc_gid=WwZWl3W-afb4o2dLy4_J6w&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfSdI3miFPwy1gczl6XvkfDcif1sb2-pv0XA_cvGF-4xdQ&oe=687F9DE9&_nc_sid=10d13b""}, ""created_at"": 1752703968, ""edge_liked_by"": {""count"": 0}, ""viewer_has_liked"": false, ""did_report_as_spam"": false, ""is_restricted_pending"": false}",2945917317,
14,18091541872644083,ea02981f-7f65-4c7f-8ade-11780f3a1f29,Mantap org karawang yeuh,DMFpII8hiI_,2025-07-18 03:07:58.065,2025-07-18 03:07:58.065,"{""id"": ""18091541872644083"", ""text"": ""Mantap org karawang yeuh"", ""owner"": {""id"": ""72492462537"", ""username"": ""r._mubarok"", ""is_verified"": false, ""profile_pic_url"": ""https://instagram.fipn1-1.fna.fbcdn.net/v/t51.2885-19/497260915_17857795239422538_1931902211033081972_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fipn1-1.fna.fbcdn.net&_nc_cat=106&_nc_oc=Q6cZ2QGJ_6YK3_iVoAemf28uqgRHL3X93erdNDqjMRoBunmrMCzgwSKqNym1Q__iH2pmQ_E&_nc_ohc=dY1b69LjtFQQ7kNvwFfm66m&_nc_gid=WwZWl3W-afb4o2dLy4_J6w&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfTBlg0Y38nr-6wGud55yJ8y4tX0x1PQ7tbO80tuhEULow&oe=687F7D55&_nc_sid=10d13b""}, ""created_at"": 1752716393, ""edge_liked_by"": {""count"": 0}, ""viewer_has_liked"": false, ""did_report_as_spam"": false, ""is_restricted_pending"": false}",72492462537,
15,18083852746633231,340ac274-89cc-4aba-a956-83cafeda248a,AYDK,DMFpII8hiI_,2025-07-18 03:07:58.097,2025-07-18 03:07:58.097,"{""id"": ""18083852746633231"", ""text"": ""AYDK"", ""owner"": {""id"": ""7315676333"", ""username"": ""lihlihun"", ""is_verified"": false, ""profile_pic_url"": ""https://instagram.fipn1-1.fna.fbcdn.net/v/t51.2885-19/502082681_18303189187244334_1366173011699673752_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fipn1-1.fna.fbcdn.net&_nc_cat=106&_nc_oc=Q6cZ2QGJ_6YK3_iVoAemf28uqgRHL3X93erdNDqjMRoBunmrMCzgwSKqNym1Q__iH2pmQ_E&_nc_ohc=pqfRL6fJlBIQ7kNvwGmD_PO&_nc_gid=WwZWl3W-afb4o2dLy4_J6w&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfTb_jcRc1DY00rtO5_kuchKl-Q5lXu6VhEmiC9RR7veiA&oe=687F74A2&_nc_sid=10d13b""}, ""created_at"": 1752718232, ""edge_liked_by"": {""count"": 0}, ""viewer_has_liked"": false, ""did_report_as_spam"": false, ""is_restricted_pending"": false}",7315676333,
16,18087229765750771,f0afc287-6eaa-4e0c-8d38-670ef89dd150,💙💙💙💙💙💙💙💙💙💙💙💙💙💙,DMFpII8hiI_,2025-07-18 03:07:58.126,2025-07-18 03:07:58.126,"{""id"": ""18087229765750771"", ""text"": ""💙💙💙💙💙💙💙💙💙💙💙💙💙💙"", ""owner"": {""id"": ""28156979147"", ""username"": ""edysupeno1982"", ""is_verified"": false, ""profile_pic_url"": ""https://instagram.fipn1-1.fna.fbcdn.net/v/t51.2885-19/519276906_18075928831939148_9080465992234606817_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fipn1-1.fna.fbcdn.net&_nc_cat=108&_nc_oc=Q6cZ2QGJ_6YK3_iVoAemf28uqgRHL3X93erdNDqjMRoBunmrMCzgwSKqNym1Q__iH2pmQ_E&_nc_ohc=GVKtAwuUs8wQ7kNvwHsLzNV&_nc_gid=WwZWl3W-afb4o2dLy4_J6w&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfS_zsqhKBAOeu6GvG2z7eKY1wPqwuC_3UInO9j0VUNEkA&oe=687F98CE&_nc_sid=10d13b""}, ""created_at"": 1752722391, ""edge_liked_by"": {""count"": 0}, ""viewer_has_liked"": false, ""did_report_as_spam"": false, ""is_restricted_pending"": false}",28156979147,
17,17982896150841862,038124a9-78f2-4e16-b478-5939f8aed657,Good luck bang @cahya50supriadiii,DMFpII8hiI_,2025-07-18 03:07:58.147,2025-07-18 03:07:58.147,"{""id"": ""17982896150841862"", ""text"": ""Good luck bang @cahya50supriadiii"", ""owner"": {""id"": ""27406424725"", ""username"": ""nyongjakmania28"", ""is_verified"": false, ""profile_pic_url"": ""https://instagram.fipn1-1.fna.fbcdn.net/v/t51.2885-19/502598513_18075274189912726_5092768271649101601_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fipn1-1.fna.fbcdn.net&_nc_cat=110&_nc_oc=Q6cZ2QGJ_6YK3_iVoAemf28uqgRHL3X93erdNDqjMRoBunmrMCzgwSKqNym1Q__iH2pmQ_E&_nc_ohc=0c_RG_yUIcwQ7kNvwFtZKDe&_nc_gid=WwZWl3W-afb4o2dLy4_J6w&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfSCbOizlM3UtueEOWH0A4rQ-QFWOCJ10zmseg1LpEO1cw&oe=687F8BD6&_nc_sid=10d13b""}, ""created_at"": 1752727107, ""edge_liked_by"": {""count"": 0}, ""viewer_has_liked"": false, ""did_report_as_spam"": false, ""is_restricted_pending"": false}",27406424725,
18,17900346453238944,a1fbc355-9a8d-4f19-a364-958e6e8bd50b,Dari JAKARTA to JOGJAKARTA 👏,DMFpII8hiI_,2025-07-18 03:07:58.174,2025-07-18 03:07:58.174,"{""id"": ""17900346453238944"", ""text"": ""Dari JAKARTA to JOGJAKARTA 👏"", ""owner"": {""id"": ""66463746772"", ""username"": ""jakartafootball28_"", ""is_verified"": false, ""profile_pic_url"": ""https://instagram.fipn1-1.fna.fbcdn.net/v/t51.2885-19/514203167_17901741186210773_4194301605957300711_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fipn1-1.fna.fbcdn.net&_nc_cat=105&_nc_oc=Q6cZ2QGJ_6YK3_iVoAemf28uqgRHL3X93erdNDqjMRoBunmrMCzgwSKqNym1Q__iH2pmQ_E&_nc_ohc=V6rlsfklXEcQ7kNvwH2DIfT&_nc_gid=WwZWl3W-afb4o2dLy4_J6w&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfRsOCY4J_KYacXiIF7PkB35hxKtou77kLlwovzUcxtJhQ&oe=687F9939&_nc_sid=10d13b""}, ""created_at"": 1752736032, ""edge_liked_by"": {""count"": 0}, ""viewer_has_liked"": false, ""did_report_as_spam"": false, ""is_restricted_pending"": false}",66463746772,
19,17964378968795203,342fbc60-8fa4-4cd8-966e-6b92abdf1b43,Mantap ABGku,DMFpII8hiI_,2025-07-18 03:07:58.206,2025-07-18 03:07:58.206,"{""id"": ""17964378968795203"", ""text"": ""Mantap ABGku"", ""owner"": {""id"": ""53860301147"", ""username"": ""indobarca__cikampek"", ""is_verified"": false, ""profile_pic_url"": ""https://instagram.fipn1-1.fna.fbcdn.net/v/t51.2885-19/317489346_473818098074064_4089667141081227357_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fipn1-1.fna.fbcdn.net&_nc_cat=100&_nc_oc=Q6cZ2QGJ_6YK3_iVoAemf28uqgRHL3X93erdNDqjMRoBunmrMCzgwSKqNym1Q__iH2pmQ_E&_nc_ohc=PLP950HAP34Q7kNvwHvB4xz&_nc_gid=WwZWl3W-afb4o2dLy4_J6w&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfSsVR_VnxM8DuVG3-Q3McRycvJW445tgBsW6mr5zMjimQ&oe=687F7EC4&_nc_sid=10d13b""}, ""created_at"": 1752757776, ""edge_liked_by"": {""count"": 0}, ""viewer_has_liked"": false, ""did_report_as_spam"": false, ""is_restricted_pending"": false}",53860301147,
20,18070251671082268,8f571826-4824-49b6-9dde-e96cc0cdd24f,psim bersejarah mengiringi persija 🧡💙,DMFpII8hiI_,2025-07-18 03:07:58.232,2025-07-18 03:07:58.232,"{""id"": ""18070251671082268"", ""text"": ""psim bersejarah mengiringi persija 🧡💙"", ""owner"": {""id"": ""75919355736"", ""username"": ""firlyachmad_12"", ""is_verified"": false, ""profile_pic_url"": ""https://instagram.fipn1-1.fna.fbcdn.net/v/t51.2885-19/519994661_17845208475531737_8412083078083756871_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fipn1-1.fna.fbcdn.net&_nc_cat=105&_nc_oc=Q6cZ2QGJ_6YK3_iVoAemf28uqgRHL3X93erdNDqjMRoBunmrMCzgwSKqNym1Q__iH2pmQ_E&_nc_ohc=VASJSDzZq28Q7kNvwHRLXj_&_nc_gid=WwZWl3W-afb4o2dLy4_J6w&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfTpOXEWrAR7mwmPfBOdaWPgerJOZ6Hx3tIeOCfIKtV3Pg&oe=687F83B3&_nc_sid=10d13b""}, ""created_at"": 1752758698, ""edge_liked_by"": {""count"": 0}, ""viewer_has_liked"": false, ""did_report_as_spam"": false, ""is_restricted_pending"": false}",75919355736,
